ID,Drug1,Drug2,cell_line,Bliss,classification
8967,MK-8669,OXALIPLATIN,COLO320DM,5.82,synergy
8968,MK-8669,OXALIPLATIN,COLO320DM,6.25,synergy
8969,MK-8669,SN-38,COLO320DM,5.35,synergy
8970,MK-8669,SN-38,COLO320DM,9.28,synergy
8971,MK-8669,SORAFENIB,COLO320DM,5.22,synergy
8972,MK-8669,SORAFENIB,COLO320DM,4.62,synergy
8973,MK-8669,TOPOTECAN,COLO320DM,5.19,synergy
8974,MRK-003,5-FU,COLO320DM,3.64,synergy
8975,MRK-003,5-FU,COLO320DM,9.26,synergy
8976,MRK-003,ABT-888,COLO320DM,10.2,synergy
8977,MRK-003,ABT-888,COLO320DM,4.29,synergy
8978,MRK-003,AZD1775,COLO320DM,11.11,synergy
8979,MRK-003,AZD1775,COLO320DM,9.13,synergy
8980,MRK-003,AZD1775,COLO320DM,19.45,synergy
8981,MRK-003,AZD1775,COLO320DM,19.75,synergy
8982,MRK-003,BEZ-235,COLO320DM,7.19,synergy
8983,MRK-003,BEZ-235,COLO320DM,6.18,synergy
8984,MRK-003,BEZ-235,COLO320DM,13.54,synergy
8985,MRK-003,BEZ-235,COLO320DM,14.84,synergy
8986,MRK-003,BORTEZOMIB,COLO320DM,17.28,synergy
8987,MRK-003,BORTEZOMIB,COLO320DM,17.93,synergy
8988,MRK-003,BORTEZOMIB,COLO320DM,19.31,synergy
8989,MRK-003,BORTEZOMIB,COLO320DM,15.7,synergy
8990,MRK-003,CARBOPLATIN,COLO320DM,5.66,synergy
8991,MRK-003,CARBOPLATIN,COLO320DM,11.99,synergy
8992,MRK-003,CARBOPLATIN,COLO320DM,9.49,synergy
8993,MRK-003,CYCLOPHOSPHAMIDE,COLO320DM,7.65,synergy
8994,MRK-003,CYCLOPHOSPHAMIDE,COLO320DM,7,synergy
8995,MRK-003,CYCLOPHOSPHAMIDE,COLO320DM,4.06,synergy
8996,MRK-003,CYCLOPHOSPHAMIDE,COLO320DM,5.61,synergy
8997,MRK-003,DASATINIB,COLO320DM,5.46,synergy
8998,MRK-003,DASATINIB,COLO320DM,15.25,synergy
8999,MRK-003,DASATINIB,COLO320DM,15.17,synergy
9000,MRK-003,DEXAMETHASONE,COLO320DM,5.13,synergy
9001,MRK-003,DEXAMETHASONE,COLO320DM,8.73,synergy
9002,MRK-003,DEXAMETHASONE,COLO320DM,8.62,synergy
9003,MRK-003,DEXAMETHASONE,COLO320DM,4.24,synergy
9004,MRK-003,DINACICLIB,COLO320DM,6.09,synergy
9005,MRK-003,DINACICLIB,COLO320DM,5.8,synergy
9006,MRK-003,DINACICLIB,COLO320DM,9.09,synergy
9007,MRK-003,DOXORUBICIN,COLO320DM,-17.38,antagonism
9008,MRK-003,DOXORUBICIN,COLO320DM,-9.38,antagonism
9009,MRK-003,DOXORUBICIN,COLO320DM,-7.05,antagonism
9010,MRK-003,DOXORUBICIN,COLO320DM,-3.65,antagonism
9011,MRK-003,ERLOTINIB,COLO320DM,4.41,synergy
9012,MRK-003,ERLOTINIB,COLO320DM,5.95,synergy
9013,MRK-003,ERLOTINIB,COLO320DM,7.73,synergy
9014,MRK-003,ETOPOSIDE,COLO320DM,6.98,synergy
9015,MRK-003,ETOPOSIDE,COLO320DM,6.99,synergy
9016,MRK-003,ETOPOSIDE,COLO320DM,14.27,synergy
9017,MRK-003,ETOPOSIDE,COLO320DM,10.66,synergy
9018,MRK-003,GELDANAMYCIN,COLO320DM,3.61,synergy
9019,MRK-003,GELDANAMYCIN,COLO320DM,4.36,synergy
9020,MRK-003,GEMCITABINE,COLO320DM,4.02,synergy
9021,MRK-003,GEMCITABINE,COLO320DM,3.68,synergy
9022,MRK-003,GEMCITABINE,COLO320DM,7.04,synergy
9023,MRK-003,GEMCITABINE,COLO320DM,3.86,synergy
9024,MRK-003,L778123,COLO320DM,3.46,synergy
9025,MRK-003,L778123,COLO320DM,4.65,synergy
9026,MRK-003,L778123,COLO320DM,6.54,synergy
9027,MRK-003,LAPATINIB,COLO320DM,6.33,synergy
9028,MRK-003,LAPATINIB,COLO320DM,6.22,synergy
9029,MRK-003,LAPATINIB,COLO320DM,3.44,synergy
9030,MRK-003,LAPATINIB,COLO320DM,11.53,synergy
9031,MRK-003,METFORMIN,COLO320DM,12.23,synergy
9032,MRK-003,METFORMIN,COLO320DM,6.45,synergy
9033,MRK-003,METFORMIN,COLO320DM,15.38,synergy
9034,MRK-003,METFORMIN,COLO320DM,7.48,synergy
9035,MRK-003,METHOTREXATE,COLO320DM,-3.53,antagonism
9036,MRK-003,METHOTREXATE,COLO320DM,-3.13,antagonism
9037,MRK-003,MITOMYCINE,COLO320DM,3.7,synergy
9038,MRK-003,MITOMYCINE,COLO320DM,-3.47,antagonism
9039,MRK-003,MITOMYCINE,COLO320DM,6.17,synergy
9040,MRK-003,MITOMYCINE,COLO320DM,4.71,synergy
9041,MRK-003,MK-2206,COLO320DM,8.07,synergy
9042,MRK-003,MK-2206,COLO320DM,12.67,synergy
9043,MRK-003,MK-2206,COLO320DM,11.13,synergy
9044,MRK-003,MK-2206,COLO320DM,12.9,synergy
9045,MRK-003,MK-4827,COLO320DM,4.54,synergy
9046,MRK-003,MK-4827,COLO320DM,11.98,synergy
9047,MRK-003,MK-4827,COLO320DM,13.16,synergy
9048,MRK-003,MK-4827,COLO320DM,7.37,synergy
9049,MRK-003,MK-5108,COLO320DM,4.71,synergy
9050,MRK-003,MK-5108,COLO320DM,5.48,synergy
9051,MRK-003,MK-8669,COLO320DM,10.98,synergy
9052,MRK-003,MK-8669,COLO320DM,8.17,synergy
9053,MRK-003,MK-8669,COLO320DM,13.06,synergy
9054,MRK-003,MK-8669,COLO320DM,19.26,synergy
9055,MRK-003,MK-8776,COLO320DM,11.98,synergy
9056,MRK-003,MK-8776,COLO320DM,15.88,synergy
9057,MRK-003,MK-8776,COLO320DM,15.56,synergy
9058,MRK-003,MK-8776,COLO320DM,21.47,synergy
9059,MRK-003,OXALIPLATIN,COLO320DM,3.16,synergy
9060,MRK-003,PACLITAXEL,COLO320DM,21.98,synergy
9061,MRK-003,PACLITAXEL,COLO320DM,18.66,synergy
9062,MRK-003,PACLITAXEL,COLO320DM,23.21,synergy
9063,MRK-003,PACLITAXEL,COLO320DM,27.19,synergy
9064,MRK-003,PD325901,COLO320DM,4.29,synergy
9065,MRK-003,PD325901,COLO320DM,5.84,synergy
9066,MRK-003,PD325901,COLO320DM,3.09,synergy
9067,MRK-003,SN-38,COLO320DM,12.15,synergy
9068,MRK-003,SN-38,COLO320DM,13.48,synergy
9069,MRK-003,SORAFENIB,COLO320DM,4.92,synergy
9070,MRK-003,SORAFENIB,COLO320DM,3.91,synergy
9071,MRK-003,SORAFENIB,COLO320DM,4.74,synergy
9072,MRK-003,SORAFENIB,COLO320DM,12.01,synergy
9073,MRK-003,SUNITINIB,COLO320DM,13.66,synergy
9074,MRK-003,SUNITINIB,COLO320DM,11.12,synergy
9075,MRK-003,SUNITINIB,COLO320DM,14,synergy
9076,MRK-003,SUNITINIB,COLO320DM,14.08,synergy
9077,MRK-003,TEMOZOLOMIDE,COLO320DM,-3.63,antagonism
9078,MRK-003,TEMOZOLOMIDE,COLO320DM,5.9,synergy
9079,MRK-003,TOPOTECAN,COLO320DM,7.31,synergy
9080,MRK-003,TOPOTECAN,COLO320DM,8.91,synergy
9081,MRK-003,TOPOTECAN,COLO320DM,4.86,synergy
9082,MRK-003,TOPOTECAN,COLO320DM,7.35,synergy
9083,MRK-003,VINBLASTINE,COLO320DM,11.63,synergy
9084,MRK-003,VINBLASTINE,COLO320DM,24.35,synergy
9085,MRK-003,VINBLASTINE,COLO320DM,18.77,synergy
9086,MRK-003,VINBLASTINE,COLO320DM,11.71,synergy
9087,MRK-003,VINORELBINE,COLO320DM,10.81,synergy
9088,MRK-003,VINORELBINE,COLO320DM,11.8,synergy
9089,MRK-003,VINORELBINE,COLO320DM,13.92,synergy
9090,MRK-003,VINORELBINE,COLO320DM,15.27,synergy
9091,MRK-003,ZOLINZA,COLO320DM,10.34,synergy
9092,MRK-003,ZOLINZA,COLO320DM,9.04,synergy
9093,OXALIPLATIN,DINACICLIB,COLO320DM,3.14,synergy
9094,OXALIPLATIN,DINACICLIB,COLO320DM,5.36,synergy
9095,OXALIPLATIN,DINACICLIB,COLO320DM,5.07,synergy
9096,OXALIPLATIN,DINACICLIB,COLO320DM,6.95,synergy
9097,OXALIPLATIN,MK-8776,COLO320DM,9.73,synergy
9098,OXALIPLATIN,MK-8776,COLO320DM,11.81,synergy
9099,OXALIPLATIN,MK-8776,COLO320DM,12.27,synergy
9100,OXALIPLATIN,MK-8776,COLO320DM,11.98,synergy
9101,OXALIPLATIN,SORAFENIB,COLO320DM,-6.6,antagonism
9102,PACLITAXEL,ABT-888,COLO320DM,8.75,synergy
9103,PACLITAXEL,ABT-888,COLO320DM,3.9,synergy
9104,PACLITAXEL,ABT-888,COLO320DM,5.57,synergy
9105,PACLITAXEL,AZD1775,COLO320DM,4.9,synergy
9106,PACLITAXEL,AZD1775,COLO320DM,9.28,synergy
9107,PACLITAXEL,AZD1775,COLO320DM,11.36,synergy
9108,PACLITAXEL,AZD1775,COLO320DM,13.59,synergy
9109,PACLITAXEL,BEZ-235,COLO320DM,4.62,synergy
9110,PACLITAXEL,BEZ-235,COLO320DM,9.41,synergy
9111,PACLITAXEL,BEZ-235,COLO320DM,8.46,synergy
9112,PACLITAXEL,BEZ-235,COLO320DM,11.81,synergy
9113,PACLITAXEL,BORTEZOMIB,COLO320DM,16.08,synergy
9114,PACLITAXEL,BORTEZOMIB,COLO320DM,14.82,synergy
9115,PACLITAXEL,BORTEZOMIB,COLO320DM,10.19,synergy
9116,PACLITAXEL,BORTEZOMIB,COLO320DM,13.34,synergy
9117,PACLITAXEL,DASATINIB,COLO320DM,7.5,synergy
9118,PACLITAXEL,DASATINIB,COLO320DM,9.17,synergy
9119,PACLITAXEL,DASATINIB,COLO320DM,5.45,synergy
9120,PACLITAXEL,DASATINIB,COLO320DM,5.29,synergy
9121,PACLITAXEL,DINACICLIB,COLO320DM,3.03,synergy
9122,PACLITAXEL,DINACICLIB,COLO320DM,5.19,synergy
9123,PACLITAXEL,DINACICLIB,COLO320DM,8.13,synergy
9124,PACLITAXEL,DINACICLIB,COLO320DM,9.97,synergy
9125,PACLITAXEL,ERLOTINIB,COLO320DM,3.14,synergy
9126,PACLITAXEL,ERLOTINIB,COLO320DM,9.82,synergy
9127,PACLITAXEL,ERLOTINIB,COLO320DM,6.94,synergy
9128,PACLITAXEL,ERLOTINIB,COLO320DM,7.41,synergy
9129,PACLITAXEL,GELDANAMYCIN,COLO320DM,4.86,synergy
9130,PACLITAXEL,GELDANAMYCIN,COLO320DM,3.48,synergy
9131,PACLITAXEL,GELDANAMYCIN,COLO320DM,9.71,synergy
9132,PACLITAXEL,L778123,COLO320DM,4.25,synergy
9133,PACLITAXEL,L778123,COLO320DM,7.61,synergy
9134,PACLITAXEL,LAPATINIB,COLO320DM,21.93,synergy
9135,PACLITAXEL,LAPATINIB,COLO320DM,22.81,synergy
9136,PACLITAXEL,LAPATINIB,COLO320DM,23.02,synergy
9137,PACLITAXEL,LAPATINIB,COLO320DM,19.55,synergy
9138,PACLITAXEL,MK-2206,COLO320DM,10.76,synergy
9139,PACLITAXEL,MK-2206,COLO320DM,9.75,synergy
9140,PACLITAXEL,MK-2206,COLO320DM,9.68,synergy
9141,PACLITAXEL,MK-2206,COLO320DM,15.35,synergy
9142,PACLITAXEL,MK-4827,COLO320DM,11.69,synergy
9143,PACLITAXEL,MK-4827,COLO320DM,9.96,synergy
9144,PACLITAXEL,MK-4827,COLO320DM,7.47,synergy
9145,PACLITAXEL,MK-4827,COLO320DM,10.04,synergy
9146,PACLITAXEL,MK-5108,COLO320DM,12.81,synergy
9147,PACLITAXEL,MK-5108,COLO320DM,8.95,synergy
9148,PACLITAXEL,MK-5108,COLO320DM,11.3,synergy
9149,PACLITAXEL,MK-5108,COLO320DM,12.14,synergy
9150,PACLITAXEL,MK-8669,COLO320DM,7.63,synergy
9151,PACLITAXEL,MK-8669,COLO320DM,8.64,synergy
9152,PACLITAXEL,MK-8669,COLO320DM,8.96,synergy
9153,PACLITAXEL,MK-8669,COLO320DM,11.58,synergy
9154,PACLITAXEL,MK-8776,COLO320DM,7.87,synergy
9155,PACLITAXEL,MK-8776,COLO320DM,3.37,synergy
9156,PACLITAXEL,MK-8776,COLO320DM,3.83,synergy
9157,PACLITAXEL,MK-8776,COLO320DM,8.73,synergy
9158,PACLITAXEL,PD325901,COLO320DM,-4.19,antagonism
9159,PACLITAXEL,PD325901,COLO320DM,-4.17,antagonism
9160,PACLITAXEL,PD325901,COLO320DM,4.46,synergy
9161,PACLITAXEL,SORAFENIB,COLO320DM,3.04,synergy
9162,PACLITAXEL,SUNITINIB,COLO320DM,15.87,synergy
9163,PACLITAXEL,SUNITINIB,COLO320DM,14.54,synergy
9164,PACLITAXEL,SUNITINIB,COLO320DM,15.59,synergy
9165,PACLITAXEL,SUNITINIB,COLO320DM,13.37,synergy
9166,PACLITAXEL,TEMOZOLOMIDE,COLO320DM,4.17,synergy
9167,PACLITAXEL,TEMOZOLOMIDE,COLO320DM,6.92,synergy
9168,PACLITAXEL,ZOLINZA,COLO320DM,4.35,synergy
9169,PACLITAXEL,ZOLINZA,COLO320DM,4.93,synergy
9170,PACLITAXEL,ZOLINZA,COLO320DM,12.1,synergy
9171,PACLITAXEL,ZOLINZA,COLO320DM,10.25,synergy
9172,PD325901,ABT-888,COLO320DM,-16.32,antagonism
9173,PD325901,ABT-888,COLO320DM,-11.26,antagonism
9174,PD325901,ABT-888,COLO320DM,6.91,synergy
9175,PD325901,BEZ-235,COLO320DM,4.72,synergy
9176,PD325901,BEZ-235,COLO320DM,8.35,synergy
9177,PD325901,BEZ-235,COLO320DM,13.31,synergy
9178,PD325901,BEZ-235,COLO320DM,14.11,synergy
9179,PD325901,BORTEZOMIB,COLO320DM,3.44,synergy
9180,PD325901,BORTEZOMIB,COLO320DM,9.27,synergy
9181,PD325901,BORTEZOMIB,COLO320DM,17.57,synergy
9182,PD325901,BORTEZOMIB,COLO320DM,20.36,synergy
9183,PD325901,DASATINIB,COLO320DM,-5.16,antagonism
9184,PD325901,DASATINIB,COLO320DM,-9.25,antagonism
9185,PD325901,DASATINIB,COLO320DM,-5.4,antagonism
9186,PD325901,DINACICLIB,COLO320DM,-5.12,antagonism
9187,PD325901,DINACICLIB,COLO320DM,4.84,synergy
9188,PD325901,GELDANAMYCIN,COLO320DM,-11.3,antagonism
9189,PD325901,GELDANAMYCIN,COLO320DM,-7.82,antagonism
9190,PD325901,GELDANAMYCIN,COLO320DM,4.63,synergy
9191,PD325901,GELDANAMYCIN,COLO320DM,16.79,synergy
9192,PD325901,MK-8669,COLO320DM,3.48,synergy
9193,PD325901,MK-8776,COLO320DM,5.21,synergy
9194,PD325901,MK-8776,COLO320DM,14.77,synergy
9195,PD325901,MK-8776,COLO320DM,6.99,synergy
9196,PD325901,SN-38,COLO320DM,8.35,synergy
9197,PD325901,SN-38,COLO320DM,-3.46,antagonism
9198,PD325901,SN-38,COLO320DM,3.13,synergy
9199,PD325901,SN-38,COLO320DM,8.06,synergy
9200,PD325901,SORAFENIB,COLO320DM,-7.91,antagonism
9201,PD325901,SORAFENIB,COLO320DM,3.47,synergy
9202,PD325901,SORAFENIB,COLO320DM,4.96,synergy
9203,PD325901,TOPOTECAN,COLO320DM,5.39,synergy
9204,SN-38,MK-8776,COLO320DM,6.17,synergy
9205,SN-38,MK-8776,COLO320DM,5.27,synergy
9206,SN-38,MK-8776,COLO320DM,3.7,synergy
9207,SN-38,MK-8776,COLO320DM,10.19,synergy
9208,SN-38,SORAFENIB,COLO320DM,3.52,synergy
9209,SORAFENIB,DINACICLIB,COLO320DM,-3.39,antagonism
9210,SORAFENIB,DINACICLIB,COLO320DM,3.22,synergy
9211,SUNITINIB,ABT-888,COLO320DM,11.16,synergy
9212,SUNITINIB,ABT-888,COLO320DM,8.18,synergy
9213,SUNITINIB,ABT-888,COLO320DM,8.09,synergy
9214,SUNITINIB,ABT-888,COLO320DM,18.41,synergy
9215,SUNITINIB,AZD1775,COLO320DM,10.26,synergy
9216,SUNITINIB,AZD1775,COLO320DM,5.48,synergy
9217,SUNITINIB,AZD1775,COLO320DM,6.03,synergy
9218,SUNITINIB,AZD1775,COLO320DM,4.51,synergy
9219,SUNITINIB,BEZ-235,COLO320DM,7.83,synergy
9220,SUNITINIB,BEZ-235,COLO320DM,9.35,synergy
9221,SUNITINIB,BEZ-235,COLO320DM,12.94,synergy
9222,SUNITINIB,BEZ-235,COLO320DM,11.49,synergy
9223,SUNITINIB,BORTEZOMIB,COLO320DM,15.36,synergy
9224,SUNITINIB,BORTEZOMIB,COLO320DM,10.66,synergy
9225,SUNITINIB,BORTEZOMIB,COLO320DM,15.53,synergy
9226,SUNITINIB,BORTEZOMIB,COLO320DM,18.1,synergy
9227,SUNITINIB,DASATINIB,COLO320DM,15.55,synergy
9228,SUNITINIB,DASATINIB,COLO320DM,13.29,synergy
9229,SUNITINIB,DASATINIB,COLO320DM,14.96,synergy
9230,SUNITINIB,DASATINIB,COLO320DM,18.41,synergy
9231,SUNITINIB,DINACICLIB,COLO320DM,12.08,synergy
9232,SUNITINIB,DINACICLIB,COLO320DM,3.2,synergy
9233,SUNITINIB,DINACICLIB,COLO320DM,14.94,synergy
9234,SUNITINIB,DINACICLIB,COLO320DM,14.9,synergy
9235,SUNITINIB,ERLOTINIB,COLO320DM,4.29,synergy
9236,SUNITINIB,ERLOTINIB,COLO320DM,12.36,synergy
9237,SUNITINIB,ERLOTINIB,COLO320DM,7.06,synergy
9238,SUNITINIB,ERLOTINIB,COLO320DM,8.03,synergy
9239,SUNITINIB,GELDANAMYCIN,COLO320DM,12.86,synergy
9240,SUNITINIB,GELDANAMYCIN,COLO320DM,9.32,synergy
9241,SUNITINIB,GELDANAMYCIN,COLO320DM,12.18,synergy
9242,SUNITINIB,GELDANAMYCIN,COLO320DM,13.64,synergy
9243,SUNITINIB,LAPATINIB,COLO320DM,10.59,synergy
9244,SUNITINIB,LAPATINIB,COLO320DM,8.3,synergy
9245,SUNITINIB,LAPATINIB,COLO320DM,15.53,synergy
9246,SUNITINIB,LAPATINIB,COLO320DM,13.64,synergy
9247,SUNITINIB,MK-2206,COLO320DM,7.53,synergy
9248,SUNITINIB,MK-2206,COLO320DM,14.24,synergy
9249,SUNITINIB,MK-2206,COLO320DM,13.21,synergy
9250,SUNITINIB,MK-2206,COLO320DM,14.52,synergy
9251,SUNITINIB,MK-4827,COLO320DM,8.59,synergy
9252,SUNITINIB,MK-4827,COLO320DM,9.14,synergy
9253,SUNITINIB,MK-4827,COLO320DM,8.79,synergy
9254,SUNITINIB,MK-4827,COLO320DM,8.8,synergy
9255,SUNITINIB,MK-5108,COLO320DM,9.14,synergy
9256,SUNITINIB,MK-5108,COLO320DM,7.48,synergy
9257,SUNITINIB,MK-5108,COLO320DM,7.41,synergy
9258,SUNITINIB,MK-5108,COLO320DM,5.49,synergy
9259,SUNITINIB,MK-8669,COLO320DM,15.13,synergy
9260,SUNITINIB,MK-8669,COLO320DM,16.01,synergy
9261,SUNITINIB,MK-8669,COLO320DM,14.17,synergy
9262,SUNITINIB,MK-8669,COLO320DM,15.31,synergy
9263,SUNITINIB,MK-8776,COLO320DM,9.69,synergy
9264,SUNITINIB,MK-8776,COLO320DM,9.55,synergy
9265,SUNITINIB,MK-8776,COLO320DM,14.28,synergy
9266,SUNITINIB,MK-8776,COLO320DM,14.66,synergy
9267,SUNITINIB,OXALIPLATIN,COLO320DM,6.76,synergy
9268,SUNITINIB,OXALIPLATIN,COLO320DM,9.33,synergy
9269,SUNITINIB,PD325901,COLO320DM,8.53,synergy
9270,SUNITINIB,PD325901,COLO320DM,4.92,synergy
9271,SUNITINIB,PD325901,COLO320DM,9.44,synergy
9272,SUNITINIB,PD325901,COLO320DM,13.51,synergy
9273,SUNITINIB,SN-38,COLO320DM,7.25,synergy
9274,SUNITINIB,SN-38,COLO320DM,5.46,synergy
9275,SUNITINIB,SN-38,COLO320DM,12.05,synergy
9276,SUNITINIB,SN-38,COLO320DM,12.63,synergy
9277,SUNITINIB,SORAFENIB,COLO320DM,6.73,synergy
9278,SUNITINIB,SORAFENIB,COLO320DM,3.02,synergy
9279,SUNITINIB,TEMOZOLOMIDE,COLO320DM,5.28,synergy
9280,SUNITINIB,TEMOZOLOMIDE,COLO320DM,3.31,synergy
9281,SUNITINIB,TEMOZOLOMIDE,COLO320DM,5.14,synergy
9282,SUNITINIB,TOPOTECAN,COLO320DM,4.11,synergy
9283,TEMOZOLOMIDE,ABT-888,COLO320DM,3.5,synergy
9284,TEMOZOLOMIDE,ABT-888,COLO320DM,4.37,synergy
9285,TEMOZOLOMIDE,AZD1775,COLO320DM,11.3,synergy
9286,TEMOZOLOMIDE,AZD1775,COLO320DM,3.29,synergy
9287,TEMOZOLOMIDE,AZD1775,COLO320DM,10.46,synergy
9288,TEMOZOLOMIDE,AZD1775,COLO320DM,7.93,synergy
9289,TEMOZOLOMIDE,BEZ-235,COLO320DM,3.74,synergy
9290,TEMOZOLOMIDE,BEZ-235,COLO320DM,7.79,synergy
9291,TEMOZOLOMIDE,BEZ-235,COLO320DM,3.42,synergy
9292,TEMOZOLOMIDE,BORTEZOMIB,COLO320DM,5.95,synergy
9293,TEMOZOLOMIDE,BORTEZOMIB,COLO320DM,7.19,synergy
9294,TEMOZOLOMIDE,BORTEZOMIB,COLO320DM,8.62,synergy
9295,TEMOZOLOMIDE,DASATINIB,COLO320DM,3.42,synergy
9296,TEMOZOLOMIDE,ERLOTINIB,COLO320DM,16.88,synergy
9297,TEMOZOLOMIDE,ERLOTINIB,COLO320DM,4.39,synergy
9298,TEMOZOLOMIDE,ERLOTINIB,COLO320DM,9.8,synergy
9299,TEMOZOLOMIDE,GELDANAMYCIN,COLO320DM,3.56,synergy
9300,TEMOZOLOMIDE,GELDANAMYCIN,COLO320DM,5.32,synergy
9301,TEMOZOLOMIDE,GELDANAMYCIN,COLO320DM,-5.53,antagonism
9302,TEMOZOLOMIDE,GELDANAMYCIN,COLO320DM,3.52,synergy
9303,TEMOZOLOMIDE,LAPATINIB,COLO320DM,5.38,synergy
9304,TEMOZOLOMIDE,MK-4827,COLO320DM,4.28,synergy
9305,TEMOZOLOMIDE,MK-4827,COLO320DM,7.75,synergy
9306,TEMOZOLOMIDE,MK-4827,COLO320DM,3.19,synergy
9307,TEMOZOLOMIDE,MK-5108,COLO320DM,-40.39,antagonism
9308,TEMOZOLOMIDE,MK-5108,COLO320DM,-36.7,antagonism
9309,TEMOZOLOMIDE,MK-5108,COLO320DM,-38.62,antagonism
9310,TEMOZOLOMIDE,MK-5108,COLO320DM,-40.14,antagonism
9311,TEMOZOLOMIDE,MK-8669,COLO320DM,8.9,synergy
9312,TEMOZOLOMIDE,MK-8776,COLO320DM,16.02,synergy
9313,TEMOZOLOMIDE,MK-8776,COLO320DM,13,synergy
9314,TEMOZOLOMIDE,MK-8776,COLO320DM,12.92,synergy
9315,TEMOZOLOMIDE,MK-8776,COLO320DM,21.57,synergy
9316,TEMOZOLOMIDE,OXALIPLATIN,COLO320DM,3.58,synergy
9317,TEMOZOLOMIDE,PD325901,COLO320DM,-5.01,antagonism
9318,TEMOZOLOMIDE,PD325901,COLO320DM,5.24,synergy
9319,TEMOZOLOMIDE,SN-38,COLO320DM,-6.66,antagonism
9320,TEMOZOLOMIDE,SN-38,COLO320DM,-4.02,antagonism
9321,TEMOZOLOMIDE,SORAFENIB,COLO320DM,-4.28,antagonism
9322,TEMOZOLOMIDE,TOPOTECAN,COLO320DM,-11.49,antagonism
9323,TEMOZOLOMIDE,TOPOTECAN,COLO320DM,-10.08,antagonism
9324,TEMOZOLOMIDE,TOPOTECAN,COLO320DM,-9.6,antagonism
9325,TEMOZOLOMIDE,TOPOTECAN,COLO320DM,-9.93,antagonism
9326,TOPOTECAN,BEZ-235,COLO320DM,4.29,synergy
9327,TOPOTECAN,BEZ-235,COLO320DM,4.41,synergy
9328,TOPOTECAN,BEZ-235,COLO320DM,7.56,synergy
9329,TOPOTECAN,DINACICLIB,COLO320DM,-3.65,antagonism
9330,TOPOTECAN,MK-8776,COLO320DM,8.48,synergy
9331,TOPOTECAN,MK-8776,COLO320DM,7.41,synergy
9332,TOPOTECAN,MK-8776,COLO320DM,4.02,synergy
9333,VINBLASTINE,ABT-888,COLO320DM,-4.28,antagonism
9334,VINBLASTINE,AZD1775,COLO320DM,7.17,synergy
9335,VINBLASTINE,AZD1775,COLO320DM,7.17,synergy
9336,VINBLASTINE,AZD1775,COLO320DM,10.47,synergy
9337,VINBLASTINE,AZD1775,COLO320DM,7.77,synergy
9338,VINBLASTINE,BEZ-235,COLO320DM,11.02,synergy
9339,VINBLASTINE,BEZ-235,COLO320DM,9.3,synergy
9340,VINBLASTINE,BEZ-235,COLO320DM,14.27,synergy
9341,VINBLASTINE,BEZ-235,COLO320DM,11.29,synergy
9342,VINBLASTINE,BORTEZOMIB,COLO320DM,9.73,synergy
9343,VINBLASTINE,BORTEZOMIB,COLO320DM,13.21,synergy
9344,VINBLASTINE,BORTEZOMIB,COLO320DM,19.62,synergy
9345,VINBLASTINE,BORTEZOMIB,COLO320DM,17.56,synergy
9346,VINBLASTINE,DASATINIB,COLO320DM,3.59,synergy
9347,VINBLASTINE,DASATINIB,COLO320DM,7.49,synergy
9348,VINBLASTINE,DINACICLIB,COLO320DM,7.08,synergy
9349,VINBLASTINE,ERLOTINIB,COLO320DM,7.2,synergy
9350,VINBLASTINE,ERLOTINIB,COLO320DM,7.18,synergy
9351,VINBLASTINE,ERLOTINIB,COLO320DM,9.73,synergy
9352,VINBLASTINE,ERLOTINIB,COLO320DM,10,synergy
9353,VINBLASTINE,GELDANAMYCIN,COLO320DM,7.71,synergy
9354,VINBLASTINE,L778123,COLO320DM,10.51,synergy
9355,VINBLASTINE,L778123,COLO320DM,14.16,synergy
9356,VINBLASTINE,L778123,COLO320DM,8.36,synergy
9357,VINBLASTINE,L778123,COLO320DM,13.5,synergy
9358,VINBLASTINE,LAPATINIB,COLO320DM,5.42,synergy
9359,VINBLASTINE,LAPATINIB,COLO320DM,9.35,synergy
9360,VINBLASTINE,LAPATINIB,COLO320DM,11.61,synergy
9361,VINBLASTINE,MK-2206,COLO320DM,7.64,synergy
9362,VINBLASTINE,MK-2206,COLO320DM,6.71,synergy
9363,VINBLASTINE,MK-2206,COLO320DM,5.99,synergy
9364,VINBLASTINE,MK-2206,COLO320DM,6.51,synergy
9365,VINBLASTINE,MK-4827,COLO320DM,9.12,synergy
9366,VINBLASTINE,MK-4827,COLO320DM,9.51,synergy
9367,VINBLASTINE,MK-4827,COLO320DM,8.91,synergy
9368,VINBLASTINE,MK-5108,COLO320DM,5.09,synergy
9369,VINBLASTINE,MK-5108,COLO320DM,8.08,synergy
9370,VINBLASTINE,MK-5108,COLO320DM,11.56,synergy
9371,VINBLASTINE,MK-5108,COLO320DM,8.07,synergy
9372,VINBLASTINE,MK-8669,COLO320DM,8.26,synergy
9373,VINBLASTINE,MK-8669,COLO320DM,3.13,synergy
9374,VINBLASTINE,MK-8669,COLO320DM,3.44,synergy
9375,VINBLASTINE,MK-8776,COLO320DM,3.86,synergy
9376,VINBLASTINE,MK-8776,COLO320DM,7.82,synergy
9377,VINBLASTINE,MK-8776,COLO320DM,9.44,synergy
9378,VINBLASTINE,MK-8776,COLO320DM,18.34,synergy
9379,VINBLASTINE,PD325901,COLO320DM,-5.21,antagonism
9380,VINBLASTINE,PD325901,COLO320DM,3.82,synergy
