cell_line,drugA_name,drugB_name,mean_bliss,tissue
COLO320DM,GEMCITABINE,MK-8669,7.413333333333334,large intestine
COLO320DM,GEMCITABINE,MK-8776,6.48625,large intestine
COLO320DM,GEMCITABINE,PD325901,9.675,large intestine
COLO320DM,GEMCITABINE,SORAFENIB,-3.15,large intestine
COLO320DM,GEMCITABINE,TEMOZOLOMIDE,-7.525,large intestine
COLO320DM,L778123,ABT-888,5.55,large intestine
COLO320DM,L778123,AZD1775,4.8950000000000005,large intestine
COLO320DM,L778123,BEZ-235,9.8725,large intestine
COLO320DM,L778123,BORTEZOMIB,5.6825,large intestine
COLO320DM,L778123,DASATINIB,8.653333333333334,large intestine
COLO320DM,L778123,DINACICLIB,4.95,large intestine
COLO320DM,L778123,ERLOTINIB,6.130000000000001,large intestine
COLO320DM,L778123,ETOPOSIDE,3.18,large intestine
COLO320DM,L778123,GELDANAMYCIN,9.246666666666666,large intestine
COLO320DM,L778123,GEMCITABINE,3.4499999999999997,large intestine
COLO320DM,L778123,LAPATINIB,5.745,large intestine
COLO320DM,L778123,MK-2206,6.33,large intestine
COLO320DM,L778123,MK-4827,7.6066666666666665,large intestine
COLO320DM,L778123,MK-5108,-49.8925,large intestine
COLO320DM,L778123,MK-8669,1.235,large intestine
COLO320DM,L778123,MK-8776,8.6925,large intestine
COLO320DM,L778123,OXALIPLATIN,3.31,large intestine
COLO320DM,L778123,PD325901,2.2199999999999998,large intestine
COLO320DM,L778123,SN-38,3.495,large intestine
COLO320DM,L778123,SUNITINIB,8.52,large intestine
COLO320DM,L778123,TEMOZOLOMIDE,-6.835,large intestine
COLO320DM,L778123,TOPOTECAN,5.196666666666666,large intestine
COLO320DM,L778123,VINORELBINE,7.195,large intestine
COLO320DM,L778123,ZOLINZA,3.795,large intestine
COLO320DM,LAPATINIB,ABT-888,1.8533333333333333,large intestine
COLO320DM,LAPATINIB,BEZ-235,8.0975,large intestine
COLO320DM,LAPATINIB,BORTEZOMIB,19.42,large intestine
COLO320DM,LAPATINIB,DASATINIB,8.573333333333332,large intestine
COLO320DM,LAPATINIB,DINACICLIB,14.27,large intestine
COLO320DM,LAPATINIB,ERLOTINIB,5.86,large intestine
COLO320DM,LAPATINIB,GELDANAMYCIN,13.25,large intestine
COLO320DM,LAPATINIB,MK-2206,-4.228571428571429,large intestine
COLO320DM,LAPATINIB,MK-4827,6.453333333333333,large intestine
COLO320DM,LAPATINIB,MK-5108,6.77,large intestine
COLO320DM,LAPATINIB,MK-8669,12.629999999999999,large intestine
COLO320DM,LAPATINIB,MK-8776,11.79,large intestine
COLO320DM,LAPATINIB,OXALIPLATIN,-5.616666666666667,large intestine
COLO320DM,LAPATINIB,PD325901,5.84,large intestine
COLO320DM,LAPATINIB,SN-38,6.5649999999999995,large intestine
COLO320DM,LAPATINIB,TOPOTECAN,-4.326666666666667,large intestine
COLO320DM,METFORMIN,ABT-888,-0.8300000000000001,large intestine
COLO320DM,METFORMIN,AZD1775,7.513333333333333,large intestine
COLO320DM,METFORMIN,BEZ-235,10.52,large intestine
COLO320DM,METFORMIN,BORTEZOMIB,6.026666666666666,large intestine
COLO320DM,METFORMIN,DASATINIB,9.28,large intestine
COLO320DM,METFORMIN,DINACICLIB,4.875,large intestine
COLO320DM,METFORMIN,ERLOTINIB,2.5666666666666664,large intestine
COLO320DM,METFORMIN,GELDANAMYCIN,0.41999999999999993,large intestine
COLO320DM,METFORMIN,L778123,5.87,large intestine
COLO320DM,METFORMIN,LAPATINIB,8.1075,large intestine
COLO320DM,METFORMIN,MK-2206,6.6450000000000005,large intestine
COLO320DM,METFORMIN,MK-4827,10.0,large intestine
COLO320DM,METFORMIN,MK-5108,7.64,large intestine
COLO320DM,METFORMIN,MK-8669,8.155000000000001,large intestine
COLO320DM,METFORMIN,MK-8776,9.2425,large intestine
COLO320DM,METFORMIN,PD325901,-4.03,large intestine
COLO320DM,METFORMIN,SORAFENIB,2.72,large intestine
COLO320DM,METFORMIN,SUNITINIB,10.27,large intestine
COLO320DM,METFORMIN,TEMOZOLOMIDE,4.345000000000001,large intestine
COLO320DM,METFORMIN,ZOLINZA,7.849999999999999,large intestine
COLO320DM,METHOTREXATE,AZD1775,-6.47,large intestine
COLO320DM,METHOTREXATE,BEZ-235,-4.39,large intestine
COLO320DM,METHOTREXATE,GELDANAMYCIN,-5.6,large intestine
COLO320DM,METHOTREXATE,L778123,-3.8875,large intestine
COLO320DM,METHOTREXATE,MK-2206,6.8,large intestine
COLO320DM,METHOTREXATE,MK-4827,-4.14,large intestine
COLO320DM,METHOTREXATE,MK-5108,0.040000000000000036,large intestine
COLO320DM,METHOTREXATE,MK-8669,-6.4,large intestine
COLO320DM,METHOTREXATE,MK-8776,-3.285,large intestine
COLO320DM,METHOTREXATE,PD325901,-4.03,large intestine
COLO320DM,METHOTREXATE,SUNITINIB,-3.55,large intestine
COLO320DM,METHOTREXATE,TEMOZOLOMIDE,-11.3475,large intestine
COLO320DM,METHOTREXATE,ZOLINZA,1.96,large intestine
COLO320DM,MITOMYCINE,ABT-888,7.966666666666668,large intestine
COLO320DM,MITOMYCINE,AZD1775,9.11,large intestine
COLO320DM,MITOMYCINE,BEZ-235,7.8625,large intestine
COLO320DM,MITOMYCINE,BORTEZOMIB,14.2325,large intestine
COLO320DM,MITOMYCINE,DASATINIB,10.9275,large intestine
COLO320DM,MITOMYCINE,DINACICLIB,5.523333333333333,large intestine
COLO320DM,MITOMYCINE,ERLOTINIB,-4.43,large intestine
COLO320DM,MITOMYCINE,GELDANAMYCIN,10.8275,large intestine
COLO320DM,MITOMYCINE,L778123,-8.83,large intestine
COLO320DM,MITOMYCINE,LAPATINIB,5.9975000000000005,large intestine
COLO320DM,MITOMYCINE,MK-2206,7.4625,large intestine
COLO320DM,MITOMYCINE,MK-4827,6.4375,large intestine
COLO320DM,MITOMYCINE,MK-5108,-7.115,large intestine
COLO320DM,MITOMYCINE,MK-8669,11.395,large intestine
COLO320DM,MITOMYCINE,MK-8776,8.498333333333333,large intestine
COLO320DM,MITOMYCINE,PD325901,7.183333333333334,large intestine
COLO320DM,MITOMYCINE,SORAFENIB,-7.6625,large intestine
COLO320DM,MITOMYCINE,SUNITINIB,7.4125000000000005,large intestine
COLO320DM,MITOMYCINE,TEMOZOLOMIDE,-5.385,large intestine
COLO320DM,MITOMYCINE,ZOLINZA,5.4,large intestine
COLO320DM,MK-2206,ABT-888,7.2625,large intestine
COLO320DM,MK-2206,BEZ-235,9.2375,large intestine
COLO320DM,MK-2206,BORTEZOMIB,7.5525,large intestine
COLO320DM,MK-2206,DASATINIB,13.616666666666667,large intestine
COLO320DM,MK-2206,DINACICLIB,4.666666666666667,large intestine
COLO320DM,MK-2206,ERLOTINIB,1.5985714285714288,large intestine
COLO320DM,MK-2206,GELDANAMYCIN,5.195,large intestine
COLO320DM,MK-2206,MK-8669,-0.5987499999999999,large intestine
COLO320DM,MK-2206,MK-8776,6.195,large intestine
COLO320DM,MK-2206,OXALIPLATIN,-4.865,large intestine
COLO320DM,MK-2206,PD325901,-0.5749999999999997,large intestine
COLO320DM,MK-2206,SN-38,8.77,large intestine
COLO320DM,MK-2206,SORAFENIB,5.386666666666667,large intestine
COLO320DM,MK-2206,TOPOTECAN,4.154999999999999,large intestine
COLO320DM,MK-4541,5-FU,3.766666666666667,large intestine
COLO320DM,MK-4541,ABT-888,11.835,large intestine
COLO320DM,MK-4541,AZD1775,7.375,large intestine
COLO320DM,MK-4541,BEZ-235,12.1625,large intestine
COLO320DM,MK-4541,BORTEZOMIB,17.9325,large intestine
COLO320DM,MK-4541,CARBOPLATIN,8.985,large intestine
COLO320DM,MK-4541,CYCLOPHOSPHAMIDE,7.42,large intestine
COLO320DM,MK-4541,DASATINIB,-1.42,large intestine
COLO320DM,MK-4541,DEXAMETHASONE,9.780000000000001,large intestine
COLO320DM,MK-4541,DINACICLIB,3.58,large intestine
COLO320DM,MK-4541,DOXORUBICIN,12.1775,large intestine
COLO320DM,MK-4541,ERLOTINIB,17.8975,large intestine
COLO320DM,MK-4541,ETOPOSIDE,6.276666666666666,large intestine
COLO320DM,MK-4541,GELDANAMYCIN,9.893333333333333,large intestine
COLO320DM,MK-4541,GEMCITABINE,3.79,large intestine
COLO320DM,MK-4541,L778123,6.656666666666666,large intestine
COLO320DM,MK-4541,LAPATINIB,6.55,large intestine
COLO320DM,MK-4541,METFORMIN,4.483333333333333,large intestine
COLO320DM,MK-4541,METHOTREXATE,-5.82,large intestine
COLO320DM,MK-4541,MITOMYCINE,4.955,large intestine
COLO320DM,MK-4541,MK-2206,8.85,large intestine
COLO320DM,MK-4541,MK-4827,7.6899999999999995,large intestine
COLO320DM,MK-4541,MK-5108,6.8066666666666675,large intestine
COLO320DM,MK-4541,MK-8669,2.825,large intestine
COLO320DM,MK-4541,MK-8776,5.875,large intestine
COLO320DM,MK-4541,MRK-003,3.5975,large intestine
COLO320DM,MK-4541,OXALIPLATIN,10.1975,large intestine
COLO320DM,MK-4541,PACLITAXEL,11.2775,large intestine
COLO320DM,MK-4541,PD325901,6.71,large intestine
COLO320DM,MK-4541,SN-38,-1.4233333333333336,large intestine
COLO320DM,MK-4541,SUNITINIB,11.1475,large intestine
COLO320DM,MK-4541,TOPOTECAN,3.32,large intestine
COLO320DM,MK-4541,VINBLASTINE,4.300000000000001,large intestine
COLO320DM,MK-4541,VINORELBINE,9.64,large intestine
COLO320DM,MK-4541,ZOLINZA,-41.7,large intestine
COLO320DM,MK-4827,ABT-888,-1.9566666666666668,large intestine
COLO320DM,MK-4827,BEZ-235,8.86,large intestine
COLO320DM,MK-4827,BORTEZOMIB,15.06,large intestine
COLO320DM,MK-4827,DASATINIB,11.64,large intestine
COLO320DM,MK-4827,DINACICLIB,-1.7933333333333332,large intestine
COLO320DM,MK-4827,ERLOTINIB,7.59,large intestine
COLO320DM,MK-4827,GELDANAMYCIN,8.344999999999999,large intestine
COLO320DM,MK-4827,MK-2206,9.0775,large intestine
COLO320DM,MK-4827,MK-8669,12.306666666666667,large intestine
COLO320DM,MK-4827,MK-8776,5.47,large intestine
COLO320DM,MK-4827,OXALIPLATIN,7.97,large intestine
COLO320DM,MK-4827,PD325901,4.54,large intestine
COLO320DM,MK-4827,SN-38,8.514285714285714,large intestine
COLO320DM,MK-4827,TOPOTECAN,5.336666666666666,large intestine
COLO320DM,MK-5108,ABT-888,-14.86,large intestine
COLO320DM,MK-5108,BEZ-235,-45.66,large intestine
COLO320DM,MK-5108,BORTEZOMIB,-41.1275,large intestine
COLO320DM,MK-5108,DASATINIB,7.2225,large intestine
COLO320DM,MK-5108,DINACICLIB,-47.7725,large intestine
COLO320DM,MK-5108,ERLOTINIB,23.03,large intestine
COLO320DM,MK-5108,GELDANAMYCIN,-19.3575,large intestine
COLO320DM,MK-5108,MK-2206,5.4025,large intestine
COLO320DM,MK-5108,MK-4827,4.84,large intestine
COLO320DM,MK-5108,MK-8669,6.62,large intestine
COLO320DM,MK-5108,MK-8776,-35.205,large intestine
COLO320DM,MK-5108,OXALIPLATIN,6.625,large intestine
COLO320DM,MK-5108,PD325901,-21.9575,large intestine
COLO320DM,MK-5108,SN-38,-3.59,large intestine
COLO320DM,MK-5108,SORAFENIB,6.54,large intestine
COLO320DM,MK-5108,TOPOTECAN,-5.489999999999999,large intestine
COLO320DM,MK-8669,BEZ-235,18.325,large intestine
COLO320DM,MK-8669,DINACICLIB,6.327500000000001,large intestine
COLO320DM,MK-8669,GELDANAMYCIN,7.34,large intestine
COLO320DM,MK-8669,MK-8776,7.6675,large intestine
COLO320DM,MK-8669,OXALIPLATIN,5.6,large intestine
COLO320DM,MK-8669,SN-38,7.3149999999999995,large intestine
COLO320DM,MK-8669,SORAFENIB,4.92,large intestine
COLO320DM,MK-8669,TOPOTECAN,5.19,large intestine
COLO320DM,MRK-003,5-FU,6.45,large intestine
COLO320DM,MRK-003,ABT-888,7.244999999999999,large intestine
COLO320DM,MRK-003,AZD1775,14.86,large intestine
COLO320DM,MRK-003,BEZ-235,10.4375,large intestine
COLO320DM,MRK-003,BORTEZOMIB,17.555,large intestine
COLO320DM,MRK-003,CARBOPLATIN,9.046666666666667,large intestine
COLO320DM,MRK-003,CYCLOPHOSPHAMIDE,6.08,large intestine
COLO320DM,MRK-003,DASATINIB,11.96,large intestine
COLO320DM,MRK-003,DEXAMETHASONE,6.68,large intestine
COLO320DM,MRK-003,DINACICLIB,6.993333333333333,large intestine
COLO320DM,MRK-003,DOXORUBICIN,-9.365,large intestine
COLO320DM,MRK-003,ERLOTINIB,6.03,large intestine
COLO320DM,MRK-003,ETOPOSIDE,9.725,large intestine
COLO320DM,MRK-003,GELDANAMYCIN,3.9850000000000003,large intestine
COLO320DM,MRK-003,GEMCITABINE,4.65,large intestine
COLO320DM,MRK-003,L778123,4.883333333333334,large intestine
COLO320DM,MRK-003,LAPATINIB,-0.31375,large intestine
COLO320DM,MRK-003,METFORMIN,10.385000000000002,large intestine
COLO320DM,MRK-003,METHOTREXATE,-3.33,large intestine
COLO320DM,MRK-003,MITOMYCINE,2.7775,large intestine
COLO320DM,MRK-003,MK-2206,11.1925,large intestine
COLO320DM,MRK-003,MK-4827,9.2625,large intestine
COLO320DM,MRK-003,MK-5108,5.095000000000001,large intestine
COLO320DM,MRK-003,MK-8669,12.8675,large intestine
COLO320DM,MRK-003,MK-8776,16.2225,large intestine
COLO320DM,MRK-003,OXALIPLATIN,3.16,large intestine
COLO320DM,MRK-003,PACLITAXEL,22.76,large intestine
COLO320DM,MRK-003,PD325901,4.406666666666666,large intestine
COLO320DM,MRK-003,SN-38,12.815000000000001,large intestine
COLO320DM,MRK-003,SORAFENIB,6.395,large intestine
COLO320DM,MRK-003,SUNITINIB,5.573333333333333,large intestine
COLO320DM,MRK-003,TEMOZOLOMIDE,1.1350000000000002,large intestine
COLO320DM,MRK-003,TOPOTECAN,7.1075,large intestine
COLO320DM,MRK-003,VINBLASTINE,14.450000000000001,large intestine
COLO320DM,MRK-003,VINORELBINE,12.95,large intestine
COLO320DM,MRK-003,ZOLINZA,9.69,large intestine
COLO320DM,OXALIPLATIN,DINACICLIB,5.130000000000001,large intestine
COLO320DM,OXALIPLATIN,MK-8776,11.4475,large intestine
COLO320DM,OXALIPLATIN,SORAFENIB,-6.6,large intestine
COLO320DM,PACLITAXEL,ABT-888,6.073333333333333,large intestine
COLO320DM,PACLITAXEL,AZD1775,9.782499999999999,large intestine
COLO320DM,PACLITAXEL,BEZ-235,8.575000000000001,large intestine
COLO320DM,PACLITAXEL,BORTEZOMIB,13.6075,large intestine
COLO320DM,PACLITAXEL,DASATINIB,6.8525,large intestine
COLO320DM,PACLITAXEL,DINACICLIB,6.58,large intestine
COLO320DM,PACLITAXEL,ERLOTINIB,6.827500000000001,large intestine
COLO320DM,PACLITAXEL,GELDANAMYCIN,6.016666666666667,large intestine
COLO320DM,PACLITAXEL,L778123,5.93,large intestine
COLO320DM,PACLITAXEL,LAPATINIB,21.8275,large intestine
COLO320DM,PACLITAXEL,MK-2206,11.385,large intestine
COLO320DM,PACLITAXEL,MK-4827,9.79,large intestine
COLO320DM,PACLITAXEL,MK-5108,11.3,large intestine
COLO320DM,PACLITAXEL,MK-8669,9.2025,large intestine
COLO320DM,PACLITAXEL,MK-8776,5.95,large intestine
COLO320DM,PACLITAXEL,PD325901,-1.3,large intestine
COLO320DM,PACLITAXEL,SORAFENIB,3.04,large intestine
COLO320DM,PACLITAXEL,SUNITINIB,14.8425,large intestine
COLO320DM,PACLITAXEL,TEMOZOLOMIDE,5.545,large intestine
COLO320DM,PACLITAXEL,ZOLINZA,7.9075,large intestine
COLO320DM,PD325901,ABT-888,-6.890000000000001,large intestine
COLO320DM,PD325901,BEZ-235,10.122499999999999,large intestine
COLO320DM,PD325901,BORTEZOMIB,12.66,large intestine
COLO320DM,PD325901,DASATINIB,-6.603333333333334,large intestine
COLO320DM,PD325901,DINACICLIB,-0.14000000000000012,large intestine
COLO320DM,PD325901,GELDANAMYCIN,0.5749999999999993,large intestine
COLO320DM,PD325901,MK-8669,3.48,large intestine
COLO320DM,PD325901,MK-8776,8.99,large intestine
COLO320DM,PD325901,SN-38,4.02,large intestine
COLO320DM,PD325901,SORAFENIB,0.1733333333333332,large intestine
COLO320DM,PD325901,TOPOTECAN,5.39,large intestine
COLO320DM,SN-38,MK-8776,6.3325,large intestine
COLO320DM,SN-38,SORAFENIB,3.52,large intestine
COLO320DM,SORAFENIB,DINACICLIB,-0.08499999999999996,large intestine
COLO320DM,SUNITINIB,ABT-888,11.46,large intestine
COLO320DM,SUNITINIB,AZD1775,6.57,large intestine
COLO320DM,SUNITINIB,BEZ-235,10.4025,large intestine
COLO320DM,SUNITINIB,BORTEZOMIB,14.9125,large intestine
COLO320DM,SUNITINIB,DASATINIB,15.5525,large intestine
COLO320DM,SUNITINIB,DINACICLIB,11.28,large intestine
COLO320DM,SUNITINIB,ERLOTINIB,7.935,large intestine
COLO320DM,SUNITINIB,GELDANAMYCIN,12.0,large intestine
COLO320DM,SUNITINIB,LAPATINIB,12.015,large intestine
COLO320DM,SUNITINIB,MK-2206,2.2262500000000003,large intestine
COLO320DM,SUNITINIB,MK-4827,8.83,large intestine
COLO320DM,SUNITINIB,MK-5108,7.380000000000001,large intestine
COLO320DM,SUNITINIB,MK-8669,15.155000000000001,large intestine
COLO320DM,SUNITINIB,MK-8776,12.045,large intestine
COLO320DM,SUNITINIB,OXALIPLATIN,8.045,large intestine
COLO320DM,SUNITINIB,PD325901,9.1,large intestine
COLO320DM,SUNITINIB,SN-38,9.3475,large intestine
COLO320DM,SUNITINIB,SORAFENIB,4.875,large intestine
COLO320DM,SUNITINIB,TEMOZOLOMIDE,4.576666666666667,large intestine
COLO320DM,SUNITINIB,TOPOTECAN,4.11,large intestine
COLO320DM,TEMOZOLOMIDE,ABT-888,3.935,large intestine
COLO320DM,TEMOZOLOMIDE,AZD1775,8.245000000000001,large intestine
COLO320DM,TEMOZOLOMIDE,BEZ-235,4.983333333333333,large intestine
COLO320DM,TEMOZOLOMIDE,BORTEZOMIB,7.253333333333333,large intestine
COLO320DM,TEMOZOLOMIDE,DASATINIB,3.42,large intestine
COLO320DM,TEMOZOLOMIDE,ERLOTINIB,10.356666666666667,large intestine
COLO320DM,TEMOZOLOMIDE,GELDANAMYCIN,1.7175000000000002,large intestine
COLO320DM,TEMOZOLOMIDE,LAPATINIB,5.38,large intestine
COLO320DM,TEMOZOLOMIDE,MK-4827,-1.0016666666666667,large intestine
COLO320DM,TEMOZOLOMIDE,MK-5108,-38.9625,large intestine
COLO320DM,TEMOZOLOMIDE,MK-8669,8.9,large intestine
COLO320DM,TEMOZOLOMIDE,MK-8776,10.13125,large intestine
COLO320DM,TEMOZOLOMIDE,OXALIPLATIN,3.58,large intestine
COLO320DM,TEMOZOLOMIDE,PD325901,0.11500000000000021,large intestine
COLO320DM,TEMOZOLOMIDE,SN-38,-5.34,large intestine
COLO320DM,TEMOZOLOMIDE,SORAFENIB,-4.28,large intestine
COLO320DM,TEMOZOLOMIDE,TOPOTECAN,-10.275,large intestine
COLO320DM,TOPOTECAN,BEZ-235,5.419999999999999,large intestine
COLO320DM,TOPOTECAN,DINACICLIB,-3.65,large intestine
COLO320DM,TOPOTECAN,MK-8776,6.636666666666667,large intestine
COLO320DM,VINBLASTINE,ABT-888,-4.28,large intestine
COLO320DM,VINBLASTINE,AZD1775,8.145,large intestine
COLO320DM,VINBLASTINE,BEZ-235,11.469999999999999,large intestine
COLO320DM,VINBLASTINE,BORTEZOMIB,15.030000000000001,large intestine
COLO320DM,VINBLASTINE,DASATINIB,5.54,large intestine
COLO320DM,VINBLASTINE,DINACICLIB,7.08,large intestine
COLO320DM,VINBLASTINE,ERLOTINIB,8.5275,large intestine
COLO320DM,VINBLASTINE,GELDANAMYCIN,7.71,large intestine
COLO320DM,VINBLASTINE,L778123,11.6325,large intestine
COLO320DM,VINBLASTINE,LAPATINIB,8.793333333333333,large intestine
COLO320DM,VINBLASTINE,MK-2206,6.7125,large intestine
COLO320DM,VINBLASTINE,MK-4827,9.18,large intestine
COLO320DM,VINBLASTINE,MK-5108,8.2,large intestine
COLO320DM,VINBLASTINE,MK-8669,4.943333333333333,large intestine
COLO320DM,VINBLASTINE,MK-8776,9.865,large intestine
COLO320DM,VINBLASTINE,PD325901,3.5575,large intestine
COLO320DM,VINBLASTINE,SORAFENIB,5.6933333333333325,large intestine
COLO320DM,VINBLASTINE,SUNITINIB,15.54,large intestine
COLO320DM,VINBLASTINE,TEMOZOLOMIDE,6.56,large intestine
COLO320DM,VINBLASTINE,ZOLINZA,8.2725,large intestine
COLO320DM,VINORELBINE,ABT-888,6.609999999999999,large intestine
COLO320DM,VINORELBINE,AZD1775,9.440000000000001,large intestine
COLO320DM,VINORELBINE,BEZ-235,11.8675,large intestine
COLO320DM,VINORELBINE,BORTEZOMIB,13.317499999999999,large intestine
COLO320DM,VINORELBINE,DASATINIB,7.829999999999999,large intestine
COLO320DM,VINORELBINE,DINACICLIB,8.31,large intestine
COLO320DM,VINORELBINE,ERLOTINIB,16.13,large intestine
COLO320DM,VINORELBINE,GELDANAMYCIN,6.93,large intestine
COLO320DM,VINORELBINE,LAPATINIB,17.384999999999998,large intestine
COLO320DM,VINORELBINE,MK-2206,10.6025,large intestine
COLO320DM,VINORELBINE,MK-4827,7.470000000000001,large intestine
COLO320DM,VINORELBINE,MK-5108,10.013333333333334,large intestine
COLO320DM,VINORELBINE,MK-8669,9.546666666666667,large intestine
COLO320DM,VINORELBINE,MK-8776,11.1475,large intestine
COLO320DM,VINORELBINE,PD325901,-5.175,large intestine
COLO320DM,VINORELBINE,SORAFENIB,6.54,large intestine
COLO320DM,VINORELBINE,SUNITINIB,16.255000000000003,large intestine
COLO320DM,VINORELBINE,TEMOZOLOMIDE,6.5,large intestine
COLO320DM,VINORELBINE,ZOLINZA,7.7875,large intestine
COLO320DM,ZOLINZA,ABT-888,6.353333333333334,large intestine
COLO320DM,ZOLINZA,AZD1775,11.625,large intestine
COLO320DM,ZOLINZA,BEZ-235,7.7299999999999995,large intestine
COLO320DM,ZOLINZA,BORTEZOMIB,13.692499999999999,large intestine
COLO320DM,ZOLINZA,DASATINIB,9.105,large intestine
COLO320DM,ZOLINZA,DINACICLIB,4.573333333333333,large intestine
COLO320DM,ZOLINZA,ERLOTINIB,13.85,large intestine
COLO320DM,ZOLINZA,GELDANAMYCIN,5.79,large intestine
COLO320DM,ZOLINZA,GEMCITABINE,4.816666666666666,large intestine
COLO320DM,ZOLINZA,LAPATINIB,6.904999999999999,large intestine
COLO320DM,ZOLINZA,MK-2206,7.3425,large intestine
COLO320DM,ZOLINZA,MK-4827,4.885,large intestine
COLO320DM,ZOLINZA,MK-5108,7.4475,large intestine
COLO320DM,ZOLINZA,MK-8669,6.1499999999999995,large intestine
COLO320DM,ZOLINZA,MK-8776,13.7575,large intestine
COLO320DM,ZOLINZA,OXALIPLATIN,8.8025,large intestine
COLO320DM,ZOLINZA,PD325901,2.9800000000000004,large intestine
COLO320DM,ZOLINZA,SN-38,5.535,large intestine
COLO320DM,ZOLINZA,SUNITINIB,4.93,large intestine
COLO320DM,ZOLINZA,TEMOZOLOMIDE,4.603333333333333,large intestine
COLO320DM,ZOLINZA,TOPOTECAN,4.435,large intestine
DLD1,5-FU,ABT-888,6.865,large intestine
DLD1,5-FU,AZD1775,5.08,large intestine
DLD1,5-FU,BORTEZOMIB,3.6550000000000002,large intestine
DLD1,5-FU,DASATINIB,4.025,large intestine
DLD1,5-FU,DINACICLIB,3.7750000000000004,large intestine
DLD1,5-FU,GELDANAMYCIN,-4.945,large intestine
DLD1,5-FU,L778123,7.3133333333333335,large intestine
DLD1,5-FU,LAPATINIB,7.86,large intestine
DLD1,5-FU,MK-2206,5.526666666666666,large intestine
DLD1,5-FU,MK-4827,-3.12,large intestine
DLD1,5-FU,MK-5108,-2.4966666666666666,large intestine
DLD1,5-FU,MK-8669,6.890000000000001,large intestine
DLD1,5-FU,PD325901,4.93,large intestine
DLD1,5-FU,SORAFENIB,6.18,large intestine
DLD1,5-FU,SUNITINIB,7.333333333333333,large intestine
DLD1,5-FU,TEMOZOLOMIDE,-3.9,large intestine
DLD1,5-FU,ZOLINZA,4.34,large intestine
DLD1,ABT-888,BEZ-235,6.873333333333332,large intestine
DLD1,ABT-888,DINACICLIB,6.215,large intestine
DLD1,ABT-888,GELDANAMYCIN,-0.7249999999999999,large intestine
DLD1,ABT-888,MK-8669,4.02,large intestine
DLD1,ABT-888,MK-8776,4.0,large intestine
DLD1,ABT-888,OXALIPLATIN,-7.5575,large intestine
DLD1,ABT-888,SN-38,10.0325,large intestine
DLD1,ABT-888,SORAFENIB,10.1775,large intestine
DLD1,ABT-888,TOPOTECAN,-6.625,large intestine
DLD1,AZD1775,ABT-888,-3.605,large intestine
DLD1,AZD1775,BEZ-235,9.435,large intestine
DLD1,AZD1775,DASATINIB,12.39,large intestine
DLD1,AZD1775,DINACICLIB,8.0275,large intestine
DLD1,AZD1775,ERLOTINIB,7.355,large intestine
DLD1,AZD1775,GELDANAMYCIN,3.12,large intestine
DLD1,AZD1775,LAPATINIB,8.040000000000001,large intestine
DLD1,AZD1775,MK-2206,14.06,large intestine
DLD1,AZD1775,MK-4827,-4.065,large intestine
DLD1,AZD1775,MK-5108,5.14,large intestine
DLD1,AZD1775,MK-8669,12.8525,large intestine
DLD1,AZD1775,MK-8776,12.8275,large intestine
DLD1,AZD1775,OXALIPLATIN,-8.3775,large intestine
DLD1,AZD1775,PD325901,5.336666666666666,large intestine
DLD1,AZD1775,SN-38,5.484999999999999,large intestine
DLD1,AZD1775,SORAFENIB,8.9025,large intestine
DLD1,AZD1775,TOPOTECAN,-5.396666666666666,large intestine
DLD1,BEZ-235,DINACICLIB,4.12,large intestine
DLD1,BEZ-235,MK-8776,6.8,large intestine
DLD1,BEZ-235,OXALIPLATIN,-3.6350000000000002,large intestine
DLD1,BEZ-235,SN-38,5.6499999999999995,large intestine
DLD1,BEZ-235,SORAFENIB,6.5725,large intestine
DLD1,BORTEZOMIB,ABT-888,4.75,large intestine
DLD1,BORTEZOMIB,BEZ-235,3.885,large intestine
DLD1,BORTEZOMIB,DASATINIB,4.154999999999999,large intestine
DLD1,BORTEZOMIB,SN-38,-3.14,large intestine
DLD1,BORTEZOMIB,SORAFENIB,4.863333333333333,large intestine
DLD1,BORTEZOMIB,TOPOTECAN,4.92,large intestine
DLD1,CARBOPLATIN,ABT-888,8.58,large intestine
DLD1,CARBOPLATIN,AZD1775,0.5549999999999999,large intestine
DLD1,CARBOPLATIN,BEZ-235,5.665,large intestine
DLD1,CARBOPLATIN,BORTEZOMIB,5.965,large intestine
DLD1,CARBOPLATIN,DINACICLIB,-5.89,large intestine
DLD1,CARBOPLATIN,ERLOTINIB,-3.693333333333334,large intestine
DLD1,CARBOPLATIN,GELDANAMYCIN,3.33,large intestine
DLD1,CARBOPLATIN,L778123,-3.5300000000000002,large intestine
DLD1,CARBOPLATIN,LAPATINIB,3.45,large intestine
DLD1,CARBOPLATIN,MK-2206,3.32,large intestine
DLD1,CARBOPLATIN,MK-4827,-3.3266666666666667,large intestine
DLD1,CARBOPLATIN,MK-5108,3.975,large intestine
DLD1,CARBOPLATIN,MK-8669,2.2399999999999998,large intestine
DLD1,CARBOPLATIN,MK-8776,3.8999999999999995,large intestine
DLD1,CARBOPLATIN,PD325901,6.135,large intestine
DLD1,CARBOPLATIN,SORAFENIB,-3.67,large intestine
DLD1,CARBOPLATIN,SUNITINIB,-4.01,large intestine
DLD1,CARBOPLATIN,TEMOZOLOMIDE,-4.975,large intestine
DLD1,CARBOPLATIN,ZOLINZA,3.95,large intestine
